individuo_id,potencial_hidrico_foliar_18,area_foliar_especifica_18,area_foliar_individual_18,comprimento_foliar_18,largura_foliar_18,ima_18,densidade_estomatica_abaxial_18,densidade_estomatica_adaxial_18,progenie
2614.0,-2.84,120.82,24.29,9.57,4.21,15.7146,0.0,0.0,206.0
3088.0,-2.45,118.03,38.56,8.98,3.73,4.9698,557.92,0.0,206.0
3771.0,-2.21,72.7,15.08,8.09,2.96,19.8357,467.65,0.0,206.0
603.0,-2.42,69.47,36.74,9.67,4.76,7.114,513.97,0.0,214.0
1217.0,-2.23,125.53,45.26,16.49,4.15,20.3803,509.73,0.0,214.0
727.0,,91.01,43.94,17.78,4.37,8.2333,461.54,0.0,214.0
2557.0,-2.17,83.21,65.56,21.27,5.03,11.4592,471.55,0.0,214.0
3184.0,-2.93,,,,,18.8664,320.3,0.0,214.0
3959.0,-2.22,118.79,32.99,12.62,4.07,19.206,0.0,0.0,214.0
512.0,-2.53,88.53,45.4,13.79,3.65,19.6235,528.27,105.65,220.0
1186.0,-3.07,74.04,21.92,16.06,2.68,17.5734,488.41,0.0,220.0
1873.0,-2.08,85.88,26.58,8.69,4.06,14.1725,0.0,0.0,220.0
2548.0,-2.31,81.92,44.79,16.56,4.32,32.5949,0.0,0.0,220.0
3193.0,-2.14,98.91,35.72,16.36,3.62,3.0587,367.01,69.91,220.0
3826.0,-2.8,,,18.74,4.14,24.0347,0.0,0.0,220.0
767.0,,112.61,44.43,13.12,5.16,4.9071,429.29,227.43,124.0
1105.0,-3.23,97.45,43.31,15.16,4.66,5.8489,374.42,129.75,124.0
1794.0,-3.43,100.33,44.62,16.34,4.59,5.4162,314.74,107.88,124.0
2534.0,-2.7,101.41,52.33,13.84,5.38,4.3672,0.0,0.0,124.0
3291.0,-2.56,108.16,40.89,12.02,4.97,15.5845,296.39,0.0,124.0
3933.0,-2.65,76.83,39.95,13.77,4.67,6.8227,193.51,93.98,124.0
607.0,,85.21,51.53,20.94,3.88,27.6098,493.05,0.0,207.0
1155.0,-2.38,85.83,47.39,18.9,4.11,12.9388,224.28,85.26,207.0
